Scenario,Model_Name,RMSE_Mean,RMSE_SD,NRMSE_Mean,NRMSE_SD,MAPE_Mean,MAPE_SD,R_Squared_Mean,R_Squared_SD,CPU_Time_sec_Mean,CPU_Time_sec_SD,Total_Successes
Train with 3 Stages,SAL-GP,8.452266021,1.611733088,0.120651547,0.028668083,7.564645607,1.639873345,0.728821235,0.106557507,3.684,0.11296017,10
Train with 3 Stages,aLadder,11.48656267,1.81130732,0.164046004,0.033150371,10.50061332,1.59112125,0.514025717,0.146331029,4.012,0.044671642,10
Train with 3 Stages,mLadder-Nominal,15.81488529,5.000724789,0.223637482,0.060668864,14.26199182,4.056601522,0.048702557,0.645935559,3.165,0.07199537,10
Train with 3 Stages,mLadder-Ordinal,16.5315681,3.309174894,0.237559381,0.06284777,14.94878538,2.312006557,-0.00442857,0.413868476,3.234,0.098905117,10
Train with 4 Stages,SAL-GP,9.784716033,1.238180315,0.139523759,0.022698897,9.056220347,1.273013433,0.64706142,0.104398266,8.753,0.159446961,10
Train with 4 Stages,aLadder,18.22780635,9.366073025,0.253451338,0.115357685,18.2087423,10.35576768,-0.49881747,1.598223069,8.239,0.120411332,10
Train with 4 Stages,mLadder-Nominal,18.3118991,2.604594939,0.260766309,0.040971966,16.43913679,2.381143254,-0.231430473,0.391483152,6.006,0.131588584,10
Train with 4 Stages,mLadder-Ordinal,18.02036227,1.172185045,0.258083337,0.039033013,16.30696504,1.508476583,-0.174673557,0.181596973,6.052,0.169364826,10
Train with 5 Stages,SAL-GP,9.540454076,1.360722312,0.13624093,0.024330427,8.727613272,1.189364254,0.662707996,0.101024938,17.677,0.373334821,10
Train with 5 Stages,aLadder,20.11855132,7.269868533,0.281088289,0.086017455,20.13334444,8.438524068,-0.651472033,1.166701722,14.601,0.188470452,10
Train with 5 Stages,mLadder-Nominal,19.39634672,5.649789878,0.2784436,0.093972223,17.95511015,5.601839754,-0.538979513,1.236616789,10.053,0.18732325,10
Train with 5 Stages,mLadder-Ordinal,22.57460398,9.419275632,0.321964701,0.135762563,20.01110878,7.00790039,-1.319851837,2.544285533,10.409,0.402477052,10
